iter	RMSE
0	7.621626963
1	5.865682714
2	4.586192021
3	3.594307481
4	2.789071265
5	2.195560782
6	1.835890345
7	1.556348797
8	1.304522082
9	1.076171872
10	0.9517730679
11	0.8695282418
12	0.759295251
13	0.677302773
14	0.6293391281
15	0.5788313586
16	0.5478154212
17	0.5338094301
18	0.506225347
19	0.4942145576
20	0.4764193353
21	0.4619644023
22	0.4521420979
23	0.4437678333
24	0.4353485119
25	0.4207374417
26	0.4113256968
27	0.405993668
28	0.3947910739
29	0.3898093449
30	0.3822587056
31	0.376657737
32	0.3733239638
33	0.359071808
34	0.3555341962
35	0.350272059
36	0.3453406433
37	0.3363256402
38	0.3266488097
39	0.3222016135
40	0.3180776519
41	0.3147274193
42	0.3100995852
43	0.3050043403
44	0.2987123892
45	0.2910636294
46	0.2870088149
47	0.2838033638
48	0.2822545529
49	0.2781626968
50	0.273292472
51	0.2696308305
52	0.2672200721
53	0.2638584271
54	0.2612311173
55	0.2581917957
56	0.2555785312
57	0.2516678565
58	0.247500427
59	0.2450506437
60	0.2428070162
61	0.2414075387
62	0.2403007125
63	0.2383629572
64	0.2349599827
65	0.2326307148
66	0.2318562255
67	0.2296035331
68	0.228523656
69	0.2268589418
70	0.2240360613
71	0.222335535
72	0.2219027758
73	0.2195893767
74	0.2192033895
75	0.2176301839
76	0.216801945
77	0.216339134
78	0.2160623025
79	0.2136340444
80	0.2122789775
81	0.2102891127
82	0.2071706151
83	0.2056637167
84	0.2024533966
85	0.2013276686
86	0.200320145
87	0.1980770967
88	0.1958416986
89	0.1944078272
90	0.1925700623
91	0.1913239411
92	0.1887571252
93	0.1875220085
94	0.1855322593
95	0.1847299411
96	0.183486375
97	0.1824814663
98	0.18161105
99	0.1807070694
100	0.1800488289
101	0.1790541146
102	0.1784770407
103	0.1780675073
104	0.1766330721
105	0.1752475214
106	0.1739016245
107	0.1733591236
108	0.1719604346
109	0.1707822549
110	0.169195786
111	0.168322582
112	0.1668547892
113	0.164737382
114	0.164242323
115	0.1638534285
116	0.1630905858
117	0.1620908608
118	0.1605919854
119	0.1605169894
120	0.1598316064
121	0.1587404779
122	0.1583913042
123	0.1568859236
124	0.1559310447
125	0.1549608358
126	0.1543256966
127	0.1534905527
128	0.1525159248
129	0.1511782315
130	0.1502600681
131	0.1498850493
132	0.1492391266
133	0.148566845
134	0.1479154401
135	0.1464331119
136	0.1460515595
137	0.1454186838
138	0.1443394044
139	0.1438768687
140	0.1438265807
141	0.1435549857
142	0.1427657692
143	0.1422139271
144	0.1415610336
145	0.1409857445
146	0.1406214809
147	0.1396070306
148	0.1388107622
149	0.1383664056
150	0.1379616564
151	0.1373213065
152	0.1366250846
153	0.1356039135
154	0.134918697
155	0.1341945216
156	0.133682549
157	0.1317592753
158	0.131063413
159	0.130449132
160	0.1295622202
161	0.1290899944
162	0.1286711172
163	0.128408358
164	0.127675729
165	0.1272316119
166	0.1264674187
167	0.1260852097
168	0.1252385412
169	0.1247744917
170	0.1239012573
171	0.1234691557
172	0.1228399002
173	0.1225200756
174	0.1219995272
175	0.1211237695
176	0.1206994448
177	0.1203164351
178	0.1199312333
179	0.1196122605
180	0.1193391447
181	0.1189949792
182	0.116763957
183	0.1164935071
184	0.1160328432
185	0.1157311387
186	0.1156093608
187	0.1149423528
188	0.1146297459
189	0.1140801977
190	0.1136060985
191	0.1133087916
192	0.112873961
193	0.1118653908
194	0.1115950576
195	0.1112630026
196	0.1099927566
197	0.1097284688
198	0.1093140593
199	0.1091081677
200	0.1088448512
201	0.1083820403
202	0.1081561485
203	0.1079777553
204	0.1076603877
205	0.1071489148
206	0.1068121884
207	0.1066224237
208	0.1056433807
209	0.1054680637
210	0.1053582089
211	0.1051373966
212	0.1047901357
213	0.104420073
214	0.104025327
215	0.1034729209
216	0.1030253518
217	0.1018457234
218	0.1013736702
219	0.1008165995
220	0.1006007787
221	0.100269861
222	0.1000442847
223	0.0997591134
224	0.09945641795
225	0.09905430304
226	0.0988937802
227	0.09845685953
228	0.09781581007
229	0.0974580732
230	0.09719628772
231	0.09689613306
232	0.09674827618
233	0.09640401997
234	0.09548944673
235	0.09480149874
236	0.09438692101
237	0.09384563856
238	0.09366225453
239	0.09355756406
240	0.09337604555
241	0.09325765109
242	0.09280757223
243	0.09265665491
244	0.09232954554
245	0.09217598069
246	0.09181059697
247	0.0913973088
248	0.09100212532
249	0.09080555959
250	0.09061246799
251	0.09044016372
252	0.09023479
253	0.08997442021
254	0.08984813192
255	0.0897714805
256	0.08960788773
257	0.08924279218
258	0.08871669447
259	0.08846316152
260	0.08828485762
261	0.08797920287
262	0.08777609874
263	0.08698657001
264	0.08652960114
265	0.0861369334
266	0.08593539963
267	0.08566763787
268	0.08554067861
269	0.08544061025
270	0.08477564797
271	0.08462572597
272	0.08378486735
273	0.08347077934
274	0.08326905084
275	0.0827147169
276	0.08249060338
277	0.08232118663
278	0.08206764917
