iter	Passed	Remaining
0	2	1783
1	3	1000
2	3	736
3	3	617
4	4	553
5	4	533
6	5	531
7	6	501
8	8	640
9	9	607
10	9	572
11	10	546
12	10	524
13	14	651
14	14	625
15	14	601
16	15	580
17	23	830
18	23	803
19	25	831
20	26	804
21	26	777
22	27	767
23	28	746
24	28	724
25	30	740
26	30	725
27	31	708
28	31	693
29	32	678
30	35	727
31	36	713
32	36	702
33	39	731
34	40	717
35	40	705
36	41	691
37	41	679
38	41	666
39	42	655
40	42	644
41	43	638
42	43	627
43	44	618
44	44	609
45	45	601
46	45	592
47	45	584
48	46	575
49	46	567
50	46	561
51	50	590
52	51	585
53	51	579
54	52	572
55	53	574
56	53	567
57	54	562
58	55	562
59	55	557
60	56	552
61	56	546
62	57	540
63	57	537
64	58	532
65	58	528
66	59	523
67	59	518
68	60	514
69	60	509
70	60	505
71	61	500
72	62	499
73	62	497
74	63	492
75	63	487
76	64	489
77	64	484
78	65	479
79	65	475
80	66	471
81	66	467
82	66	464
83	67	460
84	67	456
85	67	452
86	68	449
87	68	445
88	68	442
89	69	439
90	69	436
91	70	433
92	70	430
93	70	427
94	71	424
95	71	421
96	72	418
97	72	415
98	72	413
99	73	410
100	73	407
101	74	405
102	74	402
103	74	399
104	75	398
105	75	395
106	76	393
107	76	391
108	76	388
109	77	386
110	77	384
111	78	381
112	78	379
113	78	377
114	79	375
115	79	373
116	79	371
117	80	368
118	80	366
119	80	364
120	81	362
121	81	360
122	82	358
123	82	356
124	82	354
125	83	352
126	83	350
127	83	348
128	84	347
129	84	345
130	85	343
131	85	341
132	85	339
133	86	338
134	86	336
135	86	334
136	87	333
137	87	331
138	88	330
139	88	328
140	88	326
141	89	325
142	89	323
143	90	323
144	90	322
145	91	321
146	91	319
147	92	318
148	92	317
149	92	315
150	93	314
151	93	313
152	94	312
153	94	311
154	95	310
155	95	309
156	96	308
157	96	307
158	97	306
159	97	304
160	97	303
161	98	302
162	98	300
163	99	299
164	99	298
165	99	297
166	100	295
167	100	294
168	100	293
169	101	291
170	101	290
171	102	289
172	102	288
173	103	288
174	104	288
175	104	287
176	105	287
177	105	286
178	106	284
179	106	283
180	106	282
181	107	281
182	107	280
183	108	279
184	108	278
185	108	277
186	109	276
187	109	275
188	110	274
189	110	273
190	111	272
191	111	271
192	112	271
193	112	270
194	113	269
195	113	268
196	113	267
197	114	266
198	114	265
199	115	264
200	115	263
201	115	262
202	116	261
203	116	260
204	116	259
205	117	258
206	117	257
207	118	256
208	118	255
209	118	254
210	119	253
211	119	252
212	120	251
213	120	250
214	120	249
215	121	248
216	121	248
217	122	247
218	128	258
219	128	257
220	129	256
221	132	262
222	133	261
223	133	260
224	134	259
225	134	258
226	135	258
227	135	257
228	136	256
229	136	255
230	136	254
231	137	253
232	137	252
233	149	271
234	151	274
235	153	275
236	153	274
237	154	273
238	154	272
239	154	271
240	155	270
241	156	269
242	156	268
243	156	267
244	157	266
245	158	267
246	159	266
247	159	265
248	160	264
249	160	263
250	161	262
251	162	262
252	162	261
253	163	260
254	163	259
255	164	258
256	164	257
257	164	256
258	167	260
259	168	258
260	168	257
261	169	256
262	171	259
263	172	258
264	172	257
265	173	256
266	174	256
267	180	264
268	181	263
269	181	262
270	181	261
271	182	260
272	182	259
273	183	258
274	183	257
275	184	256
276	184	255
277	188	258
278	189	258
