iter	Passed	Remaining
0	49	24779
1	55	13835
2	59	9812
3	62	7766
4	64	6363
5	66	5502
6	70	4953
7	72	4447
8	74	4047
9	76	3763
10	78	3502
11	80	3285
12	83	3125
13	86	2993
14	88	2855
15	90	2724
16	91	2609
17	93	2509
18	95	2407
19	96	2313
20	99	2269
21	101	2194
22	102	2121
23	103	2053
24	104	1994
25	106	1944
26	108	1906
27	110	1856
28	111	1808
29	112	1767
30	114	1729
31	116	1703
32	117	1666
33	119	1631
34	120	1598
35	121	1567
36	122	1537
37	125	1522
38	127	1501
39	131	1507
40	132	1486
41	135	1473
42	136	1452
43	138	1437
44	140	1421
45	142	1407
46	144	1392
47	146	1379
48	148	1366
49	150	1355
50	152	1342
51	154	1331
52	156	1317
53	158	1309
54	160	1296
55	162	1288
56	164	1276
57	167	1277
58	169	1265
59	170	1252
60	172	1238
61	174	1234
62	177	1228
63	178	1215
64	179	1203
65	181	1190
66	182	1178
67	183	1165
68	184	1153
69	186	1142
70	187	1131
71	188	1121
72	190	1113
73	191	1103
74	192	1093
75	194	1083
76	195	1073
77	196	1063
78	197	1054
79	199	1045
80	200	1036
81	201	1028
82	202	1019
83	204	1011
84	205	1003
85	206	995
86	207	987
87	209	979
88	210	971
89	211	964
90	212	956
91	214	949
92	215	942
93	216	935
94	217	928
95	219	922
96	220	915
97	223	916
98	225	912
99	227	911
100	230	910
101	232	907
102	234	904
103	237	903
104	239	901
105	241	898
106	243	894
107	245	892
108	248	890
109	252	896
110	254	893
111	257	890
112	259	887
113	260	881
114	263	880
115	264	875
116	267	874
117	268	869
118	269	864
119	271	858
120	272	853
121	273	848
122	275	843
123	277	842
124	280	840
125	282	837
126	284	834
127	285	829
128	286	824
129	287	819
130	289	814
131	291	812
132	293	808
133	294	805
134	296	802
135	298	799
136	299	794
137	302	793
138	304	790
139	306	787
140	308	784
141	309	781
142	311	778
143	313	776
144	315	773
145	317	770
146	319	767
147	321	764
148	323	761
149	324	758
150	326	755
151	328	751
152	330	748
153	332	745
154	334	743
155	335	740
156	338	738
157	339	735
158	341	733
159	343	730
160	345	727
161	347	724
162	349	721
163	351	719
164	352	716
165	355	715
166	357	712
167	358	708
168	359	704
169	360	700
170	362	696
171	363	692
172	364	688
173	365	685
174	367	682
175	368	678
176	369	674
177	370	671
178	373	669
179	374	665
180	375	662
181	377	658
182	378	655
183	379	651
184	380	648
185	381	644
186	383	641
187	384	638
188	385	634
189	387	631
190	388	628
191	389	624
192	390	621
193	392	618
194	393	615
195	394	612
196	395	608
197	397	605
198	398	602
199	399	599
200	400	596
201	402	593
202	403	590
203	404	586
204	405	583
205	408	583
206	411	582
207	413	580
208	415	579
209	418	577
210	421	576
211	423	575
212	425	572
213	426	570
214	428	567
215	429	564
216	430	561
217	432	559
218	435	558
219	438	557
220	439	554
221	440	552
222	442	549
223	443	546
224	444	543
225	445	540
226	448	539
227	450	537
228	451	534
229	453	532
230	455	530
231	457	528
232	459	526
233	461	524
234	462	521
235	464	519
236	465	516
237	466	513
238	467	511
239	469	508
240	470	505
241	471	503
242	473	500
243	474	497
244	475	495
245	476	492
246	478	489
247	479	487
248	480	484
249	481	481
250	483	479
251	484	476
252	485	474
253	486	471
254	488	469
255	489	466
256	491	464
257	492	461
258	493	459
259	494	456
260	496	454
261	497	451
262	498	449
263	500	447
264	501	444
265	502	442
266	503	439
267	505	437
268	506	434
269	507	432
270	508	430
271	510	427
272	511	425
273	512	422
274	514	420
275	515	418
276	516	415
277	517	413
278	519	411
279	520	408
280	521	406
281	522	404
